"","Cohort","Population","Sample"
"2133","SAS","BEB","HG03916"
"2134","SAS","BEB","HG03917"
"2135","SAS","BEB","HG03919"
"2136","SAS","BEB","HG03920"
"2137","SAS","BEB","HG03922"
"2138","SAS","BEB","HG03925"
"2139","SAS","BEB","HG03926"
"2140","SAS","BEB","HG03928"
"2141","SAS","BEB","HG03931"
"2142","SAS","BEB","HG03934"
"2143","SAS","BEB","HG03937"
"2144","SAS","BEB","HG03940"
"2145","SAS","BEB","HG03941"
"2146","SAS","STU","HG03943"
"2147","SAS","STU","HG03944"
"2148","SAS","STU","HG03945"
"2149","SAS","STU","HG03947"
"2150","SAS","STU","HG03949"
"2151","SAS","STU","HG03950"
"2152","SAS","STU","HG03951"
"2153","SAS","STU","HG03953"
"2154","SAS","STU","HG03955"
"2155","SAS","ITU","HG03960"
"2156","SAS","ITU","HG03963"
"2157","SAS","ITU","HG03965"
"2158","SAS","ITU","HG03967"
"2159","SAS","ITU","HG03968"
"2160","SAS","ITU","HG03969"
"2161","SAS","ITU","HG03971"
"2162","SAS","ITU","HG03973"
"2163","SAS","ITU","HG03974"
"2164","SAS","ITU","HG03976"
"2165","SAS","ITU","HG03977"
"2166","SAS","ITU","HG03978"
"2167","SAS","STU","HG03985"
"2168","SAS","STU","HG03986"
"2169","SAS","STU","HG03989"
"2170","SAS","STU","HG03990"
"2171","SAS","STU","HG03991"
"2172","SAS","STU","HG03995"
"2173","SAS","STU","HG03998"
"2174","SAS","STU","HG03999"
"2175","SAS","ITU","HG04001"
"2176","SAS","ITU","HG04002"
"2177","SAS","STU","HG04003"
"2178","SAS","STU","HG04006"
"2179","SAS","ITU","HG04014"
"2180","SAS","ITU","HG04015"
"2181","SAS","ITU","HG04017"
"2182","SAS","ITU","HG04018"
"2183","SAS","ITU","HG04019"
"2184","SAS","ITU","HG04020"
"2185","SAS","ITU","HG04022"
"2186","SAS","ITU","HG04023"
"2187","SAS","ITU","HG04025"
"2188","SAS","ITU","HG04026"
"2189","SAS","STU","HG04029"
"2190","SAS","STU","HG04033"
"2191","SAS","STU","HG04035"
"2192","SAS","STU","HG04038"
"2193","SAS","STU","HG04039"
"2194","SAS","STU","HG04042"
"2195","SAS","STU","HG04047"
"2196","SAS","ITU","HG04054"
"2197","SAS","ITU","HG04056"
"2198","SAS","ITU","HG04059"
"2199","SAS","ITU","HG04060"
"2200","SAS","ITU","HG04061"
"2201","SAS","ITU","HG04062"
"2202","SAS","ITU","HG04063"
"2203","SAS","ITU","HG04070"
"2204","SAS","STU","HG04075"
"2205","SAS","ITU","HG04076"
"2206","SAS","ITU","HG04080"
"2207","SAS","ITU","HG04090"
"2208","SAS","ITU","HG04093"
"2209","SAS","ITU","HG04094"
"2210","SAS","ITU","HG04096"
"2211","SAS","ITU","HG04098"
"2212","SAS","STU","HG04099"
"2213","SAS","STU","HG04100"
"2214","SAS","STU","HG04106"
"2215","SAS","STU","HG04107"
"2216","SAS","ITU","HG04118"
"2217","SAS","BEB","HG04131"
"2218","SAS","BEB","HG04134"
"2219","SAS","BEB","HG04140"
"2220","SAS","BEB","HG04141"
"2221","SAS","BEB","HG04144"
"2222","SAS","BEB","HG04146"
"2223","SAS","BEB","HG04152"
"2224","SAS","BEB","HG04153"
"2225","SAS","BEB","HG04155"
"2226","SAS","BEB","HG04156"
"2227","SAS","BEB","HG04158"
"2228","SAS","BEB","HG04159"
"2229","SAS","BEB","HG04161"
"2230","SAS","BEB","HG04162"
"2231","SAS","BEB","HG04164"
"2232","SAS","BEB","HG04171"
"2233","SAS","BEB","HG04173"
"2234","SAS","BEB","HG04176"
"2235","SAS","BEB","HG04177"
"2236","SAS","BEB","HG04180"
"2237","SAS","BEB","HG04182"
"2238","SAS","BEB","HG04183"
"2239","SAS","BEB","HG04185"
"2240","SAS","BEB","HG04186"
"2241","SAS","BEB","HG04188"
"2242","SAS","BEB","HG04189"
"2243","SAS","BEB","HG04194"
"2244","SAS","BEB","HG04195"
"2245","SAS","ITU","HG04198"
"2246","SAS","ITU","HG04200"
"2247","SAS","ITU","HG04202"
"2248","SAS","ITU","HG04206"
"2249","SAS","ITU","HG04209"
"2250","SAS","STU","HG04210"
"2251","SAS","ITU","HG04211"
"2252","SAS","ITU","HG04212"
"2253","SAS","ITU","HG04214"
"2254","SAS","ITU","HG04216"
"2255","SAS","ITU","HG04219"
"2256","SAS","ITU","HG04222"
"2257","SAS","ITU","HG04225"
"2258","SAS","STU","HG04227"
"2259","SAS","STU","HG04229"
"2260","SAS","ITU","HG04235"
"2261","SAS","ITU","HG04238"
"2262","SAS","ITU","HG04239"
"2263","EUR","CEU","NA06984"
"2264","EUR","CEU","NA06985"
"2265","EUR","CEU","NA06986"
"2266","EUR","CEU","NA06989"
"2267","EUR","CEU","NA06994"
"2268","EUR","CEU","NA07000"
"2269","EUR","CEU","NA07037"
"2270","EUR","CEU","NA07048"
"2271","EUR","CEU","NA07051"
"2272","EUR","CEU","NA07056"
"2273","EUR","CEU","NA07347"
"2274","EUR","CEU","NA07357"
"2275","EUR","CEU","NA10847"
"2276","EUR","CEU","NA10851"
"2277","EUR","CEU","NA11829"
"2278","EUR","CEU","NA11830"
"2279","EUR","CEU","NA11831"
"2280","EUR","CEU","NA11832"
"2281","EUR","CEU","NA11840"
"2282","EUR","CEU","NA11843"
"2283","EUR","CEU","NA11881"
"2284","EUR","CEU","NA11892"
"2285","EUR","CEU","NA11893"
"2286","EUR","CEU","NA11894"
"2287","EUR","CEU","NA11918"
"2288","EUR","CEU","NA11919"
"2289","EUR","CEU","NA11920"
"2290","EUR","CEU","NA11930"
"2291","EUR","CEU","NA11931"
"2292","EUR","CEU","NA11932"
"2293","EUR","CEU","NA11933"
"2294","EUR","CEU","NA11992"
"2295","EUR","CEU","NA11994"
"2296","EUR","CEU","NA11995"
"2297","EUR","CEU","NA12003"
"2298","EUR","CEU","NA12004"
"2299","EUR","CEU","NA12005"
"2300","EUR","CEU","NA12006"
"2301","EUR","CEU","NA12043"
"2302","EUR","CEU","NA12044"
"2303","EUR","CEU","NA12045"
"2304","EUR","CEU","NA12046"
"2305","EUR","CEU","NA12058"
"2306","EUR","CEU","NA12144"
"2307","EUR","CEU","NA12154"
"2308","EUR","CEU","NA12155"
"2309","EUR","CEU","NA12156"
"2310","EUR","CEU","NA12234"
"2311","EUR","CEU","NA12249"
"2312","EUR","CEU","NA12272"
"2313","EUR","CEU","NA12273"
"2314","EUR","CEU","NA12275"
"2315","EUR","CEU","NA12282"
"2316","EUR","CEU","NA12283"
"2317","EUR","CEU","NA12286"
"2318","EUR","CEU","NA12287"
"2319","EUR","CEU","NA12340"
"2320","EUR","CEU","NA12341"
"2321","EUR","CEU","NA12342"
"2322","EUR","CEU","NA12347"
"2323","EUR","CEU","NA12348"
"2324","EUR","CEU","NA12383"
"2325","EUR","CEU","NA12399"
"2326","EUR","CEU","NA12400"
"2327","EUR","CEU","NA12413"
"2328","EUR","CEU","NA12414"
"2329","EUR","CEU","NA12489"
"2330","EUR","CEU","NA12546"
"2331","EUR","CEU","NA12716"
"2332","EUR","CEU","NA12717"
"2333","EUR","CEU","NA12718"
"2334","EUR","CEU","NA12748"
"2335","EUR","CEU","NA12749"
"2336","EUR","CEU","NA12750"
"2337","EUR","CEU","NA12751"
"2338","EUR","CEU","NA12760"
"2339","EUR","CEU","NA12761"
"2340","EUR","CEU","NA12762"
"2341","EUR","CEU","NA12763"
"2342","EUR","CEU","NA12775"
"2343","EUR","CEU","NA12776"
"2344","EUR","CEU","NA12777"
"2345","EUR","CEU","NA12778"
"2346","EUR","CEU","NA12812"
"2347","EUR","CEU","NA12813"
"2348","EUR","CEU","NA12814"
"2349","EUR","CEU","NA12815"
"2350","EUR","CEU","NA12827"
"2351","EUR","CEU","NA12828"
"2352","EUR","CEU","NA12829"
"2353","EUR","CEU","NA12830"
"2354","EUR","CEU","NA12842"
"2355","EUR","CEU","NA12843"
"2356","EUR","CEU","NA12872"
"2357","EUR","CEU","NA12873"
"2358","EUR","CEU","NA12874"
"2359","EUR","CEU","NA12878"
"2360","EUR","CEU","NA12889"
"2361","EUR","CEU","NA12890"
"2362","AFR","YRI","NA18486"
"2363","AFR","YRI","NA18488"
"2364","AFR","YRI","NA18489"
"2365","AFR","YRI","NA18498"
"2366","AFR","YRI","NA18499"
"2367","AFR","YRI","NA18501"
"2368","AFR","YRI","NA18502"
"2369","AFR","YRI","NA18504"
"2370","AFR","YRI","NA18505"
"2371","AFR","YRI","NA18507"
"2372","AFR","YRI","NA18508"
"2373","AFR","YRI","NA18510"
"2374","AFR","YRI","NA18511"
"2375","AFR","YRI","NA18516"
"2376","AFR","YRI","NA18517"
"2377","AFR","YRI","NA18519"
"2378","AFR","YRI","NA18520"
"2379","AFR","YRI","NA18522"
"2380","AFR","YRI","NA18523"
"2381","EAS","CHB","NA18525"
"2382","EAS","CHB","NA18526"
"2383","EAS","CHB","NA18528"
"2384","EAS","CHB","NA18530"
"2385","EAS","CHB","NA18531"
"2386","EAS","CHB","NA18532"
"2387","EAS","CHB","NA18533"
"2388","EAS","CHB","NA18534"
"2389","EAS","CHB","NA18535"
"2390","EAS","CHB","NA18536"
"2391","EAS","CHB","NA18537"
"2392","EAS","CHB","NA18538"
"2393","EAS","CHB","NA18539"
"2394","EAS","CHB","NA18541"
"2395","EAS","CHB","NA18542"
"2396","EAS","CHB","NA18543"
"2397","EAS","CHB","NA18544"
"2398","EAS","CHB","NA18545"
"2399","EAS","CHB","NA18546"
"2400","EAS","CHB","NA18547"
"2401","EAS","CHB","NA18548"
"2402","EAS","CHB","NA18549"
"2403","EAS","CHB","NA18550"
"2404","EAS","CHB","NA18552"
"2405","EAS","CHB","NA18553"
"2406","EAS","CHB","NA18555"
"2407","EAS","CHB","NA18557"
"2408","EAS","CHB","NA18558"
"2409","EAS","CHB","NA18559"
"2410","EAS","CHB","NA18560"
"2411","EAS","CHB","NA18561"
"2412","EAS","CHB","NA18562"
"2413","EAS","CHB","NA18563"
"2414","EAS","CHB","NA18564"
"2415","EAS","CHB","NA18565"
"2416","EAS","CHB","NA18566"
"2417","EAS","CHB","NA18567"
"2418","EAS","CHB","NA18570"
"2419","EAS","CHB","NA18571"
"2420","EAS","CHB","NA18572"
"2421","EAS","CHB","NA18573"
"2422","EAS","CHB","NA18574"
"2423","EAS","CHB","NA18577"
"2424","EAS","CHB","NA18579"
"2425","EAS","CHB","NA18582"
"2426","EAS","CHB","NA18591"
"2427","EAS","CHB","NA18592"
"2428","EAS","CHB","NA18593"
"2429","EAS","CHB","NA18595"
"2430","EAS","CHB","NA18596"
"2431","EAS","CHB","NA18597"
"2432","EAS","CHB","NA18599"
"2433","EAS","CHB","NA18602"
"2434","EAS","CHB","NA18603"
"2435","EAS","CHB","NA18605"
"2436","EAS","CHB","NA18606"
"2437","EAS","CHB","NA18608"
"2438","EAS","CHB","NA18609"
"2439","EAS","CHB","NA18610"
"2440","EAS","CHB","NA18611"
"2441","EAS","CHB","NA18612"
"2442","EAS","CHB","NA18613"
"2443","EAS","CHB","NA18614"
"2444","EAS","CHB","NA18615"
"2445","EAS","CHB","NA18616"
"2446","EAS","CHB","NA18617"
"2447","EAS","CHB","NA18618"
"2448","EAS","CHB","NA18619"
"2449","EAS","CHB","NA18620"
"2450","EAS","CHB","NA18621"
"2451","EAS","CHB","NA18622"
"2452","EAS","CHB","NA18623"
"2453","EAS","CHB","NA18624"
"2454","EAS","CHB","NA18625"
"2455","EAS","CHB","NA18626"
"2456","EAS","CHB","NA18627"
"2457","EAS","CHB","NA18628"
"2458","EAS","CHB","NA18629"
"2459","EAS","CHB","NA18630"
"2460","EAS","CHB","NA18631"
"2461","EAS","CHB","NA18632"
"2462","EAS","CHB","NA18633"
"2463","EAS","CHB","NA18634"
"2464","EAS","CHB","NA18635"
"2465","EAS","CHB","NA18636"
"2466","EAS","CHB","NA18637"
"2467","EAS","CHB","NA18638"
"2468","EAS","CHB","NA18639"
"2469","EAS","CHB","NA18640"
"2470","EAS","CHB","NA18641"
"2471","EAS","CHB","NA18642"
"2472","EAS","CHB","NA18643"
"2473","EAS","CHB","NA18644"
"2474","EAS","CHB","NA18645"
"2475","EAS","CHB","NA18646"
"2476","EAS","CHB","NA18647"
"2477","EAS","CHB","NA18648"
"2478","EAS","CHB","NA18740"
"2479","EAS","CHB","NA18745"
"2480","EAS","CHB","NA18747"
"2481","EAS","CHB","NA18748"
"2482","EAS","CHB","NA18749"
"2483","EAS","CHB","NA18757"
"2484","AFR","YRI","NA18853"
"2485","AFR","YRI","NA18856"
"2486","AFR","YRI","NA18858"
"2487","AFR","YRI","NA18861"
"2488","AFR","YRI","NA18864"
"2489","AFR","YRI","NA18865"
"2490","AFR","YRI","NA18867"
"2491","AFR","YRI","NA18868"
"2492","AFR","YRI","NA18870"
"2493","AFR","YRI","NA18871"
"2494","AFR","YRI","NA18873"
"2495","AFR","YRI","NA18874"
"2496","AFR","YRI","NA18876"
"2497","AFR","YRI","NA18877"
"2498","AFR","YRI","NA18878"
"2499","AFR","YRI","NA18879"
"2500","AFR","YRI","NA18881"
"2501","AFR","YRI","NA18907"
"2502","AFR","YRI","NA18908"
"2503","AFR","YRI","NA18909"
"2504","AFR","YRI","NA18910"
"2505","AFR","YRI","NA18912"
"2506","AFR","YRI","NA18915"
"2507","AFR","YRI","NA18916"
"2508","AFR","YRI","NA18917"
"2509","AFR","YRI","NA18923"
"2510","AFR","YRI","NA18924"
"2511","AFR","YRI","NA18933"
"2512","AFR","YRI","NA18934"
"2513","EAS","JPT","NA18939"
"2514","EAS","JPT","NA18940"
"2515","EAS","JPT","NA18941"
"2516","EAS","JPT","NA18942"
"2517","EAS","JPT","NA18943"
"2518","EAS","JPT","NA18944"
"2519","EAS","JPT","NA18945"
"2520","EAS","JPT","NA18946"
"2521","EAS","JPT","NA18947"
"2522","EAS","JPT","NA18948"
"2523","EAS","JPT","NA18949"
"2524","EAS","JPT","NA18950"
"2525","EAS","JPT","NA18951"
"2526","EAS","JPT","NA18952"
"2527","EAS","JPT","NA18953"
"2528","EAS","JPT","NA18954"
"2529","EAS","JPT","NA18956"
"2530","EAS","JPT","NA18957"
"2531","EAS","JPT","NA18959"
"2532","EAS","JPT","NA18960"
"2533","EAS","JPT","NA18961"
"2534","EAS","JPT","NA18962"
"2535","EAS","JPT","NA18963"
"2536","EAS","JPT","NA18964"
"2537","EAS","JPT","NA18965"
"2538","EAS","JPT","NA18966"
"2539","EAS","JPT","NA18967"
"2540","EAS","JPT","NA18968"
"2541","EAS","JPT","NA18969"
"2542","EAS","JPT","NA18970"
"2543","EAS","JPT","NA18971"
"2544","EAS","JPT","NA18972"
"2545","EAS","JPT","NA18973"
"2546","EAS","JPT","NA18974"
"2547","EAS","JPT","NA18975"
"2548","EAS","JPT","NA18976"
"2549","EAS","JPT","NA18977"
"2550","EAS","JPT","NA18978"
"2551","EAS","JPT","NA18979"
"2552","EAS","JPT","NA18980"
"2553","EAS","JPT","NA18981"
"2554","EAS","JPT","NA18982"
"2555","EAS","JPT","NA18983"
"2556","EAS","JPT","NA18984"
"2557","EAS","JPT","NA18985"
"2558","EAS","JPT","NA18986"
"2559","EAS","JPT","NA18987"
"2560","EAS","JPT","NA18988"
"2561","EAS","JPT","NA18989"
"2562","EAS","JPT","NA18990"
"2563","EAS","JPT","NA18991"
"2564","EAS","JPT","NA18992"
"2565","EAS","JPT","NA18993"
"2566","EAS","JPT","NA18994"
"2567","EAS","JPT","NA18995"
"2568","EAS","JPT","NA18997"
"2569","EAS","JPT","NA18998"
"2570","EAS","JPT","NA18999"
"2571","EAS","JPT","NA19000"
"2572","EAS","JPT","NA19001"
"2573","EAS","JPT","NA19002"
"2574","EAS","JPT","NA19003"
"2575","EAS","JPT","NA19004"
"2576","EAS","JPT","NA19005"
"2577","EAS","JPT","NA19006"
"2578","EAS","JPT","NA19007"
"2579","EAS","JPT","NA19009"
"2580","EAS","JPT","NA19010"
"2581","EAS","JPT","NA19011"
"2582","EAS","JPT","NA19012"
"2583","AFR","LWK","NA19017"
"2584","AFR","LWK","NA19019"
"2585","AFR","LWK","NA19020"
"2586","AFR","LWK","NA19023"
"2587","AFR","LWK","NA19024"
"2588","AFR","LWK","NA19025"
"2589","AFR","LWK","NA19026"
"2590","AFR","LWK","NA19027"
"2591","AFR","LWK","NA19028"
"2592","AFR","LWK","NA19030"
"2593","AFR","LWK","NA19031"
"2594","AFR","LWK","NA19035"
"2595","AFR","LWK","NA19036"
"2596","AFR","LWK","NA19037"
"2597","AFR","LWK","NA19038"
"2598","AFR","LWK","NA19041"
"2599","AFR","LWK","NA19042"
"2600","AFR","LWK","NA19043"
"2601","EAS","JPT","NA19054"
"2602","EAS","JPT","NA19055"
"2603","EAS","JPT","NA19056"
"2604","EAS","JPT","NA19057"
"2605","EAS","JPT","NA19058"
"2606","EAS","JPT","NA19059"
"2607","EAS","JPT","NA19060"
"2608","EAS","JPT","NA19062"
"2609","EAS","JPT","NA19063"
"2610","EAS","JPT","NA19064"
"2611","EAS","JPT","NA19065"
"2612","EAS","JPT","NA19066"
"2613","EAS","JPT","NA19067"
"2614","EAS","JPT","NA19068"
"2615","EAS","JPT","NA19070"
"2616","EAS","JPT","NA19072"
"2617","EAS","JPT","NA19074"
"2618","EAS","JPT","NA19075"
"2619","EAS","JPT","NA19076"
"2620","EAS","JPT","NA19077"
"2621","EAS","JPT","NA19078"
"2622","EAS","JPT","NA19079"
"2623","EAS","JPT","NA19080"
"2624","EAS","JPT","NA19081"
"2625","EAS","JPT","NA19082"
"2626","EAS","JPT","NA19083"
"2627","EAS","JPT","NA19084"
"2628","EAS","JPT","NA19085"
"2629","EAS","JPT","NA19086"
"2630","EAS","JPT","NA19087"
"2631","EAS","JPT","NA19088"
"2632","EAS","JPT","NA19089"
"2633","EAS","JPT","NA19090"
"2634","EAS","JPT","NA19091"
"2635","AFR","YRI","NA19092"
"2636","AFR","YRI","NA19093"
"2637","AFR","YRI","NA19095"
"2638","AFR","YRI","NA19096"
"2639","AFR","YRI","NA19098"
"2640","AFR","YRI","NA19099"
"2641","AFR","YRI","NA19102"
"2642","AFR","YRI","NA19107"
"2643","AFR","YRI","NA19108"
"2644","AFR","YRI","NA19113"
"2645","AFR","YRI","NA19114"
"2646","AFR","YRI","NA19116"
"2647","AFR","YRI","NA19117"
"2648","AFR","YRI","NA19118"
"2649","AFR","YRI","NA19119"
"2650","AFR","YRI","NA19121"
"2651","AFR","YRI","NA19129"
"2652","AFR","YRI","NA19130"
"2653","AFR","YRI","NA19131"
"2654","AFR","YRI","NA19137"
"2655","AFR","YRI","NA19138"
"2656","AFR","YRI","NA19141"
"2657","AFR","YRI","NA19143"
"2658","AFR","YRI","NA19144"
"2659","AFR","YRI","NA19146"
"2660","AFR","YRI","NA19147"
"2661","AFR","YRI","NA19149"
"2662","AFR","YRI","NA19152"
"2663","AFR","YRI","NA19153"
"2664","AFR","YRI","NA19159"
"2665","AFR","YRI","NA19160"
"2666","AFR","YRI","NA19171"
"2667","AFR","YRI","NA19172"
"2668","AFR","YRI","NA19175"
"2669","AFR","YRI","NA19184"
"2670","AFR","YRI","NA19185"
"2671","AFR","YRI","NA19189"
"2672","AFR","YRI","NA19190"
"2673","AFR","YRI","NA19197"
"2674","AFR","YRI","NA19198"
"2675","AFR","YRI","NA19200"
"2676","AFR","YRI","NA19201"
"2677","AFR","YRI","NA19204"
"2678","AFR","YRI","NA19206"
"2679","AFR","YRI","NA19207"
"2680","AFR","YRI","NA19209"
"2681","AFR","YRI","NA19210"
"2682","AFR","YRI","NA19213"
"2683","AFR","YRI","NA19214"
"2684","AFR","YRI","NA19222"
"2685","AFR","YRI","NA19223"
"2686","AFR","YRI","NA19225"
"2687","AFR","YRI","NA19235"
"2688","AFR","YRI","NA19236"
"2689","AFR","YRI","NA19238"
"2690","AFR","YRI","NA19239"
"2691","AFR","YRI","NA19247"
"2692","AFR","YRI","NA19248"
"2693","AFR","YRI","NA19256"
"2694","AFR","YRI","NA19257"
"2695","AFR","LWK","NA19307"
"2696","AFR","LWK","NA19308"
"2697","AFR","LWK","NA19309"
"2698","AFR","LWK","NA19310"
"2699","AFR","LWK","NA19312"
"2700","AFR","LWK","NA19314"
"2701","AFR","LWK","NA19315"
"2702","AFR","LWK","NA19316"
"2703","AFR","LWK","NA19317"
"2704","AFR","LWK","NA19318"
"2705","AFR","LWK","NA19319"
"2706","AFR","LWK","NA19320"
"2707","AFR","LWK","NA19321"
"2708","AFR","LWK","NA19323"
"2709","AFR","LWK","NA19324"
"2710","AFR","LWK","NA19327"
"2711","AFR","LWK","NA19328"
"2712","AFR","LWK","NA19331"
"2713","AFR","LWK","NA19332"
"2714","AFR","LWK","NA19334"
"2715","AFR","LWK","NA19338"
"2716","AFR","LWK","NA19346"
"2717","AFR","LWK","NA19347"
"2718","AFR","LWK","NA19350"
"2719","AFR","LWK","NA19351"
"2720","AFR","LWK","NA19355"
"2721","AFR","LWK","NA19360"
"2722","AFR","LWK","NA19372"
"2723","AFR","LWK","NA19374"
"2724","AFR","LWK","NA19375"
"2725","AFR","LWK","NA19376"
"2726","AFR","LWK","NA19377"
"2727","AFR","LWK","NA19378"
"2728","AFR","LWK","NA19379"
"2729","AFR","LWK","NA19380"
"2730","AFR","LWK","NA19383"
"2731","AFR","LWK","NA19384"
"2732","AFR","LWK","NA19385"
"2733","AFR","LWK","NA19390"
"2734","AFR","LWK","NA19391"
"2735","AFR","LWK","NA19393"
"2736","AFR","LWK","NA19394"
"2737","AFR","LWK","NA19395"
"2738","AFR","LWK","NA19397"
"2739","AFR","LWK","NA19399"
"2740","AFR","LWK","NA19401"
"2741","AFR","LWK","NA19403"
"2742","AFR","LWK","NA19404"
"2743","AFR","LWK","NA19428"
"2744","AFR","LWK","NA19429"
"2745","AFR","LWK","NA19430"
"2746","AFR","LWK","NA19431"
"2747","AFR","LWK","NA19434"
"2748","AFR","LWK","NA19435"
"2749","AFR","LWK","NA19436"
"2750","AFR","LWK","NA19437"
"2751","AFR","LWK","NA19438"
"2752","AFR","LWK","NA19439"
"2753","AFR","LWK","NA19440"
"2754","AFR","LWK","NA19443"
"2755","AFR","LWK","NA19445"
"2756","AFR","LWK","NA19446"
"2757","AFR","LWK","NA19448"
"2758","AFR","LWK","NA19449"
"2759","AFR","LWK","NA19451"
"2760","AFR","LWK","NA19452"
"2761","AFR","LWK","NA19454"
"2762","AFR","LWK","NA19455"
"2763","AFR","LWK","NA19456"
"2764","AFR","LWK","NA19457"
"2765","AFR","LWK","NA19461"
"2766","AFR","LWK","NA19462"
"2767","AFR","LWK","NA19463"
"2768","AFR","LWK","NA19466"
"2769","AFR","LWK","NA19467"
"2770","AFR","LWK","NA19468"
"2771","AFR","LWK","NA19471"
"2772","AFR","LWK","NA19472"
"2773","AFR","LWK","NA19473"
"2774","AFR","LWK","NA19474"
"2775","AFR","LWK","NA19475"
"2776","AFR","ASW","NA19625"
"2777","AMR","MXL","NA19648"
"2778","AMR","MXL","NA19649"
"2779","AMR","MXL","NA19651"
"2780","AMR","MXL","NA19652"
"2781","AMR","MXL","NA19654"
"2782","AMR","MXL","NA19655"
"2783","AMR","MXL","NA19657"
"2784","AMR","MXL","NA19658"
"2785","AMR","MXL","NA19661"
"2786","AMR","MXL","NA19663"
"2787","AMR","MXL","NA19664"
"2788","AMR","MXL","NA19669"
"2789","AMR","MXL","NA19670"
"2790","AMR","MXL","NA19676"
"2791","AMR","MXL","NA19678"
"2792","AMR","MXL","NA19679"
"2793","AMR","MXL","NA19681"
"2794","AMR","MXL","NA19682"
"2795","AMR","MXL","NA19684"
"2796","AFR","ASW","NA19700"
"2797","AFR","ASW","NA19701"
"2798","AFR","ASW","NA19703"
"2799","AFR","ASW","NA19704"
"2800","AFR","ASW","NA19707"
"2801","AFR","ASW","NA19711"
"2802","AFR","ASW","NA19712"
"2803","AFR","ASW","NA19713"
"2804","AMR","MXL","NA19716"
"2805","AMR","MXL","NA19717"
"2806","AMR","MXL","NA19719"
"2807","AMR","MXL","NA19720"
"2808","AMR","MXL","NA19722"
"2809","AMR","MXL","NA19723"
"2810","AMR","MXL","NA19725"
"2811","AMR","MXL","NA19726"
"2812","AMR","MXL","NA19728"
"2813","AMR","MXL","NA19729"
"2814","AMR","MXL","NA19731"
"2815","AMR","MXL","NA19732"
"2816","AMR","MXL","NA19734"
"2817","AMR","MXL","NA19735"
"2818","AMR","MXL","NA19740"
"2819","AMR","MXL","NA19741"
"2820","AMR","MXL","NA19746"
"2821","AMR","MXL","NA19747"
"2822","AMR","MXL","NA19749"
"2823","AMR","MXL","NA19750"
"2824","AMR","MXL","NA19752"
"2825","AMR","MXL","NA19755"
"2826","AMR","MXL","NA19756"
"2827","AMR","MXL","NA19758"
"2828","AMR","MXL","NA19759"
"2829","AMR","MXL","NA19761"
"2830","AMR","MXL","NA19762"
"2831","AMR","MXL","NA19764"
"2832","AMR","MXL","NA19770"
"2833","AMR","MXL","NA19771"
"2834","AMR","MXL","NA19773"
"2835","AMR","MXL","NA19774"
"2836","AMR","MXL","NA19776"
"2837","AMR","MXL","NA19777"
"2838","AMR","MXL","NA19779"
"2839","AMR","MXL","NA19780"
"2840","AMR","MXL","NA19782"
"2841","AMR","MXL","NA19783"
"2842","AMR","MXL","NA19785"
"2843","AMR","MXL","NA19786"
"2844","AMR","MXL","NA19788"
"2845","AMR","MXL","NA19789"
"2846","AMR","MXL","NA19792"
"2847","AMR","MXL","NA19794"
"2848","AMR","MXL","NA19795"
"2849","AFR","ASW","NA19818"
"2850","AFR","ASW","NA19819"
"2851","AFR","ASW","NA19834"
"2852","AFR","ASW","NA19835"
"2853","AFR","ASW","NA19900"
"2854","AFR","ASW","NA19901"
"2855","AFR","ASW","NA19904"
"2856","AFR","ASW","NA19908"
"2857","AFR","ASW","NA19909"
"2858","AFR","ASW","NA19913"
"2859","AFR","ASW","NA19914"
"2860","AFR","ASW","NA19916"
"2861","AFR","ASW","NA19917"
"2862","AFR","ASW","NA19920"
"2863","AFR","ASW","NA19921"
"2864","AFR","ASW","NA19922"
"2865","AFR","ASW","NA19923"
"2866","AFR","ASW","NA19982"
"2867","AFR","ASW","NA19984"
"2868","AFR","ASW","NA20126"
"2869","AFR","ASW","NA20127"
"2870","AFR","ASW","NA20274"
"2871","AFR","ASW","NA20276"
"2872","AFR","ASW","NA20278"
"2873","AFR","ASW","NA20281"
"2874","AFR","ASW","NA20282"
"2875","AFR","ASW","NA20287"
"2876","AFR","ASW","NA20289"
"2877","AFR","ASW","NA20291"
"2878","AFR","ASW","NA20294"
"2879","AFR","ASW","NA20296"
"2880","AFR","ASW","NA20298"
"2881","AFR","ASW","NA20299"
"2882","AFR","ASW","NA20314"
"2883","AFR","ASW","NA20317"
"2884","AFR","ASW","NA20318"
"2885","AFR","ASW","NA20320"
"2886","AFR","ASW","NA20321"
"2887","AFR","ASW","NA20332"
"2888","AFR","ASW","NA20334"
"2889","AFR","ASW","NA20339"
"2890","AFR","ASW","NA20340"
"2891","AFR","ASW","NA20342"
"2892","AFR","ASW","NA20346"
"2893","AFR","ASW","NA20348"
"2894","AFR","ASW","NA20351"
"2895","AFR","ASW","NA20355"
"2896","AFR","ASW","NA20356"
"2897","AFR","ASW","NA20357"
"2898","AFR","ASW","NA20359"
"2899","AFR","ASW","NA20362"
"2900","AFR","ASW","NA20412"
"2901","EUR","TSI","NA20502"
"2902","EUR","TSI","NA20503"
"2903","EUR","TSI","NA20504"
"2904","EUR","TSI","NA20505"
"2905","EUR","TSI","NA20506"
"2906","EUR","TSI","NA20507"
"2907","EUR","TSI","NA20508"
"2908","EUR","TSI","NA20509"
"2909","EUR","TSI","NA20510"
"2910","EUR","TSI","NA20511"
